trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
5,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
6,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
7,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
8,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
9,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
10,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
11,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
12,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
13,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
14,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
15,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
16,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
17,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
18,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
19,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
20,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
21,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
22,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
23,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
24,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
25,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
26,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
27,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
28,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
29,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
30,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
31,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
32,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
33,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
34,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
35,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
36,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
37,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
38,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
39,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
40,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
41,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
42,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
43,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
44,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
45,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
46,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
47,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
48,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
49,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
50,-20,-20,63,1,normal,010607050d020301,010607050d020301,0,
1,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
2,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
3,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
4,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
5,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
6,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
7,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
8,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
9,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
10,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
11,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
12,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
13,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
14,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
15,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
16,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
17,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
18,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
19,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
20,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
21,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
22,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
23,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
24,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
25,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
26,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
27,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
28,-20,-10,63,1,normal,010607050d020301,010607050d020301,0,
